emp_id,employee_name,designation,date_of_joining,department,uan_no,pf_no,esi_no,bank_name,account_no,ifsc_code,month_days,pay_days,leave_days,lop_days,arrear_days,ot_hours,fixed_basic,fixed_hra,fixed_con_allow,fixed_edu_allowance,fixed_med_reim,fixed_spec_allow,fixed_oth_allow,fixed_st_bonus,fixed_leave_wages,fixed_holidays_wages,fixed_attendance_bonus,fixed_ot_wages,fixed_incentive,fixed_arrear_wages,fixed_other_wages,fixed_gross,earned_basic,earned_hra,earned_con_allow,earned_education_allowance,earned_med_reim,earned_spec_allow,earned_oth_allow,earned_st_bonus,earned_leave_wages,earned_holiday_wages,earned_attendance_bonus,earned_ot_wages,earned_incentive,earned_arrear_wages,earned_other_wages,earned_gross,epf,esic,pt,it,lwf,salary_advance,other_deduction,total_deductions,net_salary,in_words,month,year,location
FFHLP0001,testing,manger,1/12/2024,sales,10001,1,1,hdfc0001,12345,101,12,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,0
FFHLP0002,testing,manger,1/13/2024,sales,10002,2,2,hdfc0002,12346,102,13,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,1
FFHLP0003,testing,manger,1/14/2024,sales,10003,3,3,hdfc0003,12347,103,14,3,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,2
FFHLP0004,testing,manger,1/15/2024,sales,10004,4,4,hdfc0004,12348,104,15,4,4,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,3
FFHLP0005,testing,manger,1/16/2024,sales,10005,5,5,hdfc0005,12349,105,16,5,5,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,26,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,4
FFHLP0006,testing,manger,1/17/2024,sales,10006,6,6,hdfc0006,12350,106,17,6,6,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,27,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,5
FFHLP0007,testing,manger,1/18/2024,sales,10007,7,7,hdfc0007,12351,107,18,7,7,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,28,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,6
FFHLP0008,testing,manger,1/19/2024,sales,10008,8,8,hdfc0008,12352,108,19,8,8,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,29,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,7
FFHLP0009,testing,manger,1/20/2024,sales,10009,9,9,hdfc0009,12353,109,20,9,9,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,8
FFHLP0010,testing,manger,1/21/2024,sales,10010,10,10,hdfc0010,12354,110,21,10,10,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,9
FFHLP0011,testing,manger,1/22/2024,sales,10011,11,11,hdfc0011,12355,111,22,11,11,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,32,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,10
FFHLP0012,testing,manger,1/23/2024,sales,10012,12,12,hdfc0012,12356,112,23,12,12,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,33,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,11
FFHLP0013,testing,manger,1/24/2024,sales,10013,13,13,hdfc0013,12357,113,24,13,13,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,34,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,12
FFHLP0014,testing,manger,1/25/2024,sales,10014,14,14,hdfc0014,12358,114,25,14,14,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,35,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,13
FFHLP0015,testing,manger,1/26/2024,sales,10015,15,15,hdfc0015,12359,115,26,15,15,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,36,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,14
FFHLP0016,testing,manger,1/27/2024,sales,10016,16,16,hdfc0016,12360,116,27,16,16,15,15,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,37,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,15
